SAP Id|LineId|Certificate Number|Product Sheet number|Issue number|Title|Description|Product Code|Status|Issue Date	
31201|1|00/3667|1|1|Nt Thrutone Slates|||Withdrawn|	
31203|1|00/3669|1|1|Gang-Lam Lvl (Laminated Veneer Lumber)|||Withdrawn|	
31219|1|00/3685|1|1|Multivap Basic Polythene Roof Tile Underlay|||Withdrawn|	
31221|1|00/3687|1|1|Housing Grade DPC|||Withdrawn|	
31222|1|00/3688|1|1|Jafotop 140 Roof Tile Underlay|||Withdrawn|	
31223|1|00/3689|1|1|High Build Damp-Proof Course System|||Withdrawn|	
31242|1|00/3708|1|1|Olympic Gold Bay Cavity Closer/Frame Acceptor|||Withdrawn|	
31246|1|00/3712|1|1|Rapide-PVC Single-Layer Membranes|||Withdrawn|	
31248|1|00/3714|1|1|Rigid Cor/Hycor System 3000 Cavity Closer|||Withdrawn|	
31256|1|00/3722|1|1|Pinkwrap Breather Roof Lining Systems|||Withdrawn|	
31257|1|00/3723|1|1|Duoprene 2000 Roof Waterproofing System|||Withdrawn|	
31259|1|00/3725|1|1|Mv-Seal Flexible Couplings|||Withdrawn|	
31260|1|00/3726|1|1|Delyn Slates|||Withdrawn|	
31264|1|00/3730|1|1|Bailey and Davison 2Bd/A and Bailey and Davison 1Bd/A-1 Dry Lining Wall Insulation|||Withdrawn|	
31265|1|00/3731|1|1|Roger Bullivant (Rb) Kit T-Beam Foundation System|||Withdrawn|	
31270|1|00/3736|1|1|Crackstop|||Withdrawn|	
31272|1|00/3738|1|1|Marley System 45 Bur|||Withdrawn|	
31277|1|00/3743|1|1|Ameron Steelguard 3825|||Withdrawn|	
31285|1|00/3751|1|1|Batifoam Xps Roofboard|||Withdrawn|	
31286|1|00/3752|1|1|Royale Single Ply PVC Roof Waterproofing Membranes|||Withdrawn|	
31290|1|00/3756|1|1|Flexter Testudo Dpm|||Withdrawn|	
31291|1|00/3757|1|1|Anderson Insulation Boards|||Withdrawn|	
31293|1|00/3759|1|1|Bailey and Davison 2Bd/A, 1Bd/A and 1Bd/A-1 Cavity Wall Insulation|||Withdrawn|	
31307|1|00/3773|1|1|Gyproc Thermal Micro Plus|||Withdrawn|	
31308|1|00/3774|1|1|Thermalok|||Withdrawn|	
31311|1|00/3777|1|1|Polydamp Damp-Proof Membranes|||Withdrawn|	
31316|1|00/H036|1|1|Roadgrip High-Friction Surfacing System|||Withdrawn|	
31320|1|00/H040|1|1|Uponor Ultra-Safe Chamber for Non-Man Entry for Sewer Maintenance to Depths Of 4 M|||Withdrawn|	
31336|1|01/3787|1|1|Coversys Roofing Systems|||Withdrawn|	
31337|1|01/3788|1|1|Hep2O Irish Acorn Pipe and Fittings|||Withdrawn|	
31340|1|01/3791|1|1|Kommerling Komaframe Cavity Closer/Frame Acceptor|||Withdrawn|	
31378|1|01/3829|1|1|Westex Durashield|||Withdrawn|	
31382|1|01/3833|1|1|Microllam Lvl Laminated Veneer Lumber|||Withdrawn|	
31422|1|01/H045|1|1|Varley and Gulliver M20 Anchorage Type 2|||Withdrawn|	
31423|1|01/H046|1|1|Varley and Gulliver M20 Anchorage Type 2 All Stainless Steel|||Withdrawn|	
31430|1|01/H053|1|1|Lindley Drill-Put Dp-250-45-M20 Parapet Anchor|||Withdrawn|	
31458|1|02/3888|1|1|Marley System 600|||Withdrawn|	
31470|1|02/3900|1|1|Deceuninck Roofline System|||Withdrawn|	
31485|1|02/3915|1|1|Nu-Guard Smooth|||Withdrawn|	
31499|1|02/3929|1|1|Felx and Felx Alu Roof Tile Underlays|||Withdrawn|	
31516|1|02/3946|1|1|Gebrik External Insulation System|||Withdrawn|	
31522|1|02/3952|1|1|Chesterstar|||Withdrawn|	
31525|1|02/3955|1|1|Roofguard Sb|||Withdrawn|	
31557|1|02/H071|1|1|Ssr-170 M20 Cradle Anchor|||Withdrawn|	
31581|1|03/3989|1|1|Deltabeam|||Withdrawn|	
31612|1|03/4020|1|1|Vapr-Free Roof Tile Underlay In Unventilated Cold Pitched Roof Systems|||Withdrawn|	
31616|1|03/4024|1|1|Chesterblack|||Withdrawn|	
31632|1|03/4040|1|1|Quickstop Intumescent Pipe Couplings|||Withdrawn|	
31665|1|03/H075|1|1|Ssr-135A-Vdp-Ti M20 Replacement Parapet Anchor|||Withdrawn|	
31673|1|03/H083|1|1|Haucphalt|||Withdrawn|	
31674|1|03/H084|1|1|Unity Parapet Anchorage - M20|||Withdrawn|	
31680|1|03/R136|1|1|Sympaforce Geogrids|||Withdrawn|	
31685|1|ETA-04/0054|1|1|Bauder Flash Roof Waterproofing System|||Withdrawn|	
31708|1|04/4094|1|1|Icopal Anderson Proflex Roof Waterproofing System|||Withdrawn|	
31741|1|04/4129|1|1|Europlan Prf Single Ply PVC Roof Waterproofing Membranes|||Withdrawn|	
31750|1|04/4138|1|1|Sure Stop Water Switch|||Withdrawn|	
31761|1|04/4148|1|1|Novabrik|||Withdrawn|	
31873|1|05/4229|1|1|Trex Lumber|||Withdrawn|	
31897|1|05/4254|1|1|Apply3 Fpo Roof Waterproofing Membranes|||Withdrawn|	
31936|1|05/G000|1|1|Sharmila Test Ce Marking|||Withdrawn|	
31952|1|05/H119|1|1|Hitex Textureprint Type 1 Thermoplastic High-Friction Surfacing System|||Withdrawn|	
32005|1|06/4338|1|1|Multivap 300 Vapour Permeable Roof Tile Underlay In Energy-Efficient Non-Ventilated Cold Pitched Roof Systems|||Withdrawn|	
32019|1|06/4352|1|1|Stormspell Ultrabreathe Roof Tile Underlay In Energy-Efficient Non-Ventilated Cold Pitched Roof Systems|||Withdrawn|	
